Protein.IDs2	tr_1	tr_2	tr_3	control_1	control_2	control_3	Protein.IDs	Desc	Organism	imput_c	imput_t		xantho	control	pval	qval	logFC	log10pvalue	DEP	reg
A0A024FR39	26.96356	26.96774	26.83135	27.17617	27.11247	26.8098	A0A024FR39;A0A024FSC1;A0A024FRZ0;Q7FYS2;P52589;W5DV72;Q4W247;Q7XYD7;Q6JAC3;Q6JAC2;Q6JAB6	Protein disulfide-isomerase	Triticum aestivum	0	0		26.92088333	27.03281333	0.434073931	0.469698911	-0.11193	0.328180446	0	0
Q93XQ8	26.16409	26.06764	25.56439	26.80968	27.51322	26.75455	Q93XQ8;B9A8E3;A0A024FRN3;F8THZ8;F8THZ5;Q6JAB8;Q6JAB9;Q6JAC0;Q6JAC1	Protein disulfide-isomerase	Triticum aestivum	0	0		25.93204	27.02581667	0.02635125	0.197409745	-1.093776667	0.704631411	0	0
A0A075FFX7	26.7366	26.92286	26.77919	26.98869	26.71162	27.25169	A0A075FFX7	Sucrose transporter 2D	Triticum aestivum	0	0		26.81288333	26.984	0.390939494	0.4619376	-0.171116667	0.335416687	0	0
W5AMD4	24.56663	23.63068	25.53709	24.16331	28.49121	25.09237	W5AMD4;W5ES96;P20858;A0A075W3Y0;A0A075VXI8;W5FU37;W5FRU2;W5G071;W5CMR5;S4Z3F8;W5EBY9;W5HFJ2;W5BNH7;W5H550;W5H0Y1;W5HKU4;W5FMH6;W5C7V9;W5C039;W5G385;W5DB23;W5AF20;W5GS99;W5G1J0;W5DGA6;W5GAH2;W5DGU8;W5G8S9;W5AI12;W5EG61;W5G423	ATP synthase subunit beta	Triticum aestivum	0	0		24.57813333	25.91563	0.42486356	0.465372519	-1.337496667	0.332199266	0	0
A0A076U5I7	25.96446	26.44176	26.0127	25.8531	26.10767	26.63229	A0A076U5I7;W5C458;W5BMF5;W5B3P5;Q02066;W5AQV0;Q09VQ3;Q09VQ1;W5BAI7;W5BVQ8;O24395	SNF1-type serine-threonine protein kinase	Triticum aestivum	0	0		26.13964	26.19768667	0.84464231	0.616823543	-0.058046667	0.209839059	0	0
Q9ZR95	31.98475	31.96712	31.83729	31.94705	32.36001	32.2364	Q9ZR95;A0A077KS83;W5DUQ1;W5EKD0;W5E8L1	Gamma-type tonoplast intrinsic protein	Triticum aestivum	0	0		31.92972	32.18115333	0.165896056	0.336605886	-0.251433333	0.472878294	0	0
A0A077S3F8	29.72457	29.88584	29.517	28.80156	29.29588	28.80934	A0A077S3F8;A7J2I5;A0A077KVU8	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		29.70913667	28.96892667	0.025250593	0.195873543	0.74021	0.708024222	0	0
A0A077RAG2	28.94403	28.46933	28.53797	28.53768	28.90383	28.55604	A0A077RAG2;W5DBM7;W5F994;W5EXR5	Uncharacterized protein	Triticum aestivum	0	0		28.65044333	28.66585	0.939460729	0.640208797	-0.015406667	0.193678363	0	0
A0A077RAQ3	29.34575	29.02155	28.95127	29.31594	29.60316	29.31488	A0A077RAQ3;W5H4D0;W5GSV2;W5GE95	Uncharacterized protein	Triticum aestivum	0	0		29.10619	29.41132667	0.123787944	0.309172928	-0.305136667	0.50979854	0	0
W5C129	25.66863	25.95098	25.92402	25.86568	25.73946	26.15684	W5C129;W5B8T9;W5AQG6;A0A077REZ7	"Dihydroorotate dehydrogenase (quinone), mitochondr... "	Triticum aestivum	0	0		25.84787667	25.92066	0.66101969	0.554535469	-0.072783333	0.25607067	0	0
A0A077RF15	27.20303	26.56834	26.5306	26.5446	27.26758	26.92445	A0A077RF15;W5DH22;W5CLR2	Reticulon-like protein	Triticum aestivum	0	0		26.76732333	26.91221	0.65644879	0.553421037	-0.144886667	0.256944336	0	0
A0A077RF25	23.49216	23.82299	23.88204	21.40253912	21.63312592	21.6281096	A0A077RF25;W5CLY9	Uncharacterized protein	Triticum aestivum	2	0		23.73239667	21.55459154	0.000323341	0.015450625	2.177805122	1.811053953	1	1
A0A077RF72	27.17341	26.15374	26.82529	25.99434	26.1685	26.10857	A0A077RF72;W5CM15	Uncharacterized protein	Triticum aestivum	0	0		26.71748	26.09047	0.167827091	0.336605886	0.62701	0.472878294	0	0
W5BV61	25.91433	26.6584	26.58978	25.92198	25.78721	26.18579	W5BV61;A0A077RHM4	Uncharacterized protein	Triticum aestivum	0	0		26.38750333	25.96499333	0.211244226	0.357441578	0.42251	0.446794931	0	0
A0A077RNT9	25.22659	25.17032	24.97504	21.40253912	21.63312592	21.6281096	A0A077RNT9;W5GF47	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	2	0		25.12398333	21.55459154	4.94E-06	0.000991633	3.569391789	3.003648942	1	1
A0A077RP15	28.69212	28.78971	28.69092	28.91744	28.92459	28.97186	A0A077RP15;D9CJB3;Q6EZE2	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.72425	28.93796333	0.010128751	0.144991872	-0.213713333	0.838656343	0	0
