GeneID,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
kKcpudHO1xMw,39880000,37650000,39840000,40410000,36220000,15270000,14840000,15130000,14170000,14190000
zPNc8SUhg8JN,33910000,34630000,37650000,3.8e+07,33550000,2525000,2297000,1676000,1435000,1495000
YPrWRmIl8mVx,1780000,1835000,1925000,1963000,1763000,379100,331400,330200,355000,322300
wzLEL7hhSK3b,3165000,3178000,3345000,3392000,3064000,755600,753300,653300,670100,718300
ezVwaN1ocf7M,7144000,6757000,6959000,7099000,6563000,1275000,1139000,1136000,1081000,1049000
qRHnz4D3htV6,11260000,11230000,11740000,11540000,10720000,4343000,4222000,3992000,3878000,4055000
nCi8jpib8V3a,7662000,7471000,7825000,7843000,7108000,2931000,2813000,2726000,2673000,2764000
eSvHjQzvRCzS,1488000,1375000,1558000,1588000,1456000,364200,331600,342700,312000,312700
j9dWiu5c5keT,2658000,2547000,2729000,2808000,2501000,1305000,1280000,1310000,1187000,1231000
17rg86bqplhc,7007000,6789000,7046000,7349000,6487000,2381000,2352000,2331000,2294000,2303000
hq7ANPTaaE4E,965500,919200,931900,958600,882800,185000,162300,154100,150200,149700
R7u3DX6HNa5F,3907000,3756000,3945000,3885000,3722000,1506000,1443000,1408000,1352000,1378000
sseHyn3O3DGB,3910000,3730000,3922000,4095000,3607000,1299000,1350000,1303000,1239000,1301000
VwHeX79DJb2E,1603000,1607000,1697000,1749000,1662000,459400,468600,444400,448000,420700
0d1PcTlNkD9x,16710000,15950000,17410000,17100000,15640000,4658000,4895000,4727000,4554000,4492000
kDDl8Qi1trQo,2739000,2635000,2779000,2834000,2679000,1138000,1092000,1070000,1011000,1003000
bXFjIdvojUxh,33630,34040,40510,36130,28320,4925,5691,6100,5429,4584
Bwf4ibiXlJDZ,12130000,11470000,12540000,12550000,11270000,2262000,2207000,2059000,1970000,1969000
jrx1x9BfaDZq,1206000,1199000,1266000,1242000,1158000,555600,576600,566100,545200,545000
qgpFq8liJtwJ,515300,522100,557000,573600,571500,45480,38000,39730,52340,36620
Ry28Th1axp4l,998600,999800,1073000,1006000,1091000,482500,496800,505100,459500,488700
4FBCqNgHQBXq,646300,635000,698200,675000,683000,344900,311400,311400,333700,314600
uxoFDhVm5l0M,5322000,4903000,5565000,5524000,4806000,459600,442300,333100,340400,335800
05m3vVG4Gnjq,2719000,2668000,2760000,2748000,2626000,101600,76780,31790,43830,35990
wYqIryJ4ODuS,14740000,13400000,14210000,14530000,12930000,223200,188100,60970,9871,55750
vZ9UB4w91mBc,998700,982600,1047000,1089000,975000,434300,396600,398600,358900,404300
QactcsFFYjuD,2186000,2087000,2200000,2253000,2114000,499800,446100,418100,419200,442300
0hULo82HMoaC,1160000,1234000,1252000,1282000,1257000,479700,504500,482000,435200,468100
CZ0tfFACSgBy,1053000,1103000,1169000,1169000,1143000,56530,31270,14810,11360,8862
613ZKogwKTpD,21430000,20320000,21290000,21760000,19830000,6296000,6269000,5910000,5583000,5720000
i9oTFL3wM2nY,4526000,4511000,4814000,4856000,4517000,1693000,1607000,1671000,1533000,1543000
bbqUynBOLkNC,1194000,1176000,1263000,1256000,1191000,342000,301500,347900,314400,308000
nwp7Hp6meubY,4622000,4645000,4806000,4620000,4457000,1369000,1415000,1394000,1365000,1315000
